id,mssv,listening,reading,total,mamh,ghichu
118.0,5A8FC80AXPvAibaEXe9Hp2TeoSwCGQOTvUMD2sdV, NULL, NULL,37.0, NULL, NULL
119.0,075CAE0AXPvAibaEXe/7jEMhYBA6GRpJvL6kzgyG, NULL, NULL,37.0, NULL, NULL
120.0,DD6DDD9BXPvAibaEXe8808q51BnmQgYlXLk+6Sms, NULL, NULL,38.0, NULL, NULL
121.0,461F878CXPvAibaEXe88G96lR9q/HUNPesL1mp7V, NULL, NULL,38.0, NULL, NULL
122.0,5D84A808XPvAibaEXe/04IiIK7okBVnVDuMtAOeG, NULL, NULL,38.0, NULL, NULL
123.0,12C6CEBDXPvAibaEXe8HWu5TvPOfaHJ8WggqhfpV, NULL, NULL,38.0, NULL, NULL
124.0,47C7F0D8XPvAibaEXe8cJKtXZaLmvW7+9X9I1l88, NULL, NULL,39.0, NULL, NULL
125.0,62CB9074XPvAibaEXe+5AEinM7he3lQjjwdeAKvG, NULL, NULL,39.0, NULL, NULL
126.0,63850E1DXPvAibaEXe9uaaZ/YedHVMbH1bo0wP7i, NULL, NULL,40.0, NULL, NULL
127.0,BCD2B356XPvAibaEXe/UTqPTjBxFVlHUdLueHP1K, NULL, NULL,40.0, NULL, NULL
128.0,ED940AE5XPvAibaEXe/sW+jVmHnQGmpcv505KQtY, NULL, NULL,40.0, NULL, NULL
129.0,0DB26593XPvAibaEXe+fEAEfw3o+Koj1aryhxwXB, NULL, NULL,42.0, NULL, NULL
130.0,37E8854FXPvAibaEXe93t/fGOsRpn2pIVjPlvyxA, NULL, NULL,42.0, NULL, NULL
131.0,260F89E3XPvAibaEXe904Wq1lYkfi3SWlgS7D671, NULL, NULL,43.0, NULL, NULL
132.0,50710A05XPvAibaEXe+5AEinM7he3i2ud45eDBqh, NULL, NULL,43.0, NULL, NULL
133.0,F0261509XPvAibaEXe+eIy6TmCsZu0RLWC8H9A9f, NULL, NULL,43.0, NULL, NULL
134.0,B280054FXPvAibaEXe/aqMXYDLKHRx1deGanA5Uq, NULL, NULL,44.0, NULL, NULL
135.0,88F1979DXPvAibaEXe9uaaZ/YedHVLTpfQz3FFXG, NULL, NULL,46.0, NULL, NULL
136.0,962B588DXPvAibaEXe8808q51BnmQv7uo+CT+yEW, NULL, NULL,47.0, NULL, NULL
137.0,8A06BCB7XPvAibaEXe+/1KYXP+fweAfbWbYeLDhP, NULL, NULL,48.0, NULL, NULL
138.0,FC15E78FXPvAibaEXe92C4qaj9kvH9Xq+b0SgU4o, NULL, NULL,49.0, NULL, NULL
139.0,CD72A72AXPvAibaEXe/sW+jVmHnQGj7x1GbslKUs, NULL, NULL,50.0, NULL, NULL
140.0,82778F75XPvAibaEXe93t/fGOsRpn50R4yA7HNuJ, NULL, NULL,51.0, NULL, NULL
141.0,9E8D0CE7XPvAibaEXe+/1KYXP+fweLFNn49rOazP, NULL, NULL,51.0, NULL, NULL
142.0,017CD572XPvAibaEXe9CFhTkHod3yQuYGl3Dx7Ko, NULL, NULL,51.0, NULL, NULL
143.0,E5DDE060XPvAibaEXe/7YVAxOsMwOgzKuxoPANYq, NULL, NULL,52.0, NULL, NULL
